adp_rank,name,adp_avg
615,Marcus Mariota,423.0
616,Trayveon Williams,423.0
617,Austin Seibert,424.0
618,Dalevon Campbell,424.0
619,Greg Joseph,425.0
620,Zay Jones,426.0
621,Jalen Tolbert,426.0
622,Michael Badgley,427.0
623,Austin Ekeler,428.0
624,Jamaal Williams,430.0
625,Isaac Guerendo,430.0
626,Derek Carr,431.0
627,Jam Miller,431.0
628,Zach Ertz,432.0
629,Antonio Gibson,434.0
630,Antonio Nunn,434.0
631,Robert Tonyan,435.0
632,Jaleel Scott,435.0
633,Kadarius Toney,435.0
634,Steven Mitchell Jr.,436.0
635,Zamir White,436.0
636,Will Levis,437.0
637,Tanner Brown,438.0
638,Mohamed Ibrahim,439.0
639,Ryan Jones,439.0
640,Riley Leonard,469.5
641,Connor Heyward,469.5
642,Chris Conley,440.0
643,Sterling Shepard,440.0
644,Jaleel McLaughlin,470.5
645,Kenny McIntosh,441.0
646,Joshua Karty,441.0
647,Marcus Baugh,442.0
648,Brenden Rice,442.0
649,Jack Strand,442.0
650,Javorius Allen,443.0
651,Joe Milton III,443.0
652,Dont'e Thornton Jr.,443.0
653,Eric Rogers,444.0
654,Parker Romo,444.0
655,Rodney Adams,445.0
656,Tre Mosley,446.0
657,Jude McAtamney,446.0
658,Zavier Scott,448.0
659,Oscar Delp,474.0
660,Zach Horton,449.0
661,Treylon Burks,474.5
662,Quentin Skinner,450.0
663,Cade York,452.0
664,Tanner McKee,452.0
665,Jaylin Lane,453.0
666,Kendrick Bourne,457.0
667,Isaiah Bond,479.5
668,John Bates,458.0
669,Isaiah Williams,459.0
670,Jerome Ford,460.0
671,Brenen Thompson,460.0
672,Ben Sinnott,462.0
673,Jeremy Ruckert,463.0
674,Isaiah Davis,463.0
675,Davis Allen,465.0
676,Xavier Hutchinson,465.0
677,Foster Moreau,466.0
678,Olamide Zaccheaus,468.0
679,Payne Durham,468.0
680,Laquon Treadwell,470.0
681,Alec Ingold,471.0
682,Seydou Traore,472.0
683,Derius Davis,474.0
684,Adam Prentice,475.0
685,Jacob Cowing,476.0
686,Ko Kieft,480.0
687,Savion Williams,481.0
688,Tai Felton,481.0
689,Spencer Rattler,482.0
690,Luke Farrell,483.0
691,Jawhar Jordan,483.0
692,John Metchie III,484.0
693,Josh Cuevas,484.0
694,Eric Saubert,486.0
695,Andrew Beck,487.0
696,Hunter Long,489.0
697,Ian Thomas,490.0
698,Dareke Young,491.0
699,Charlie Woerner,492.0
700,Adam Randall,492.0
701,Mack Hollins,493.0
702,Nick Westbrook-Ikhine,494.0
703,Carsen Ryan,494.0
704,Reggie Virgil,495.0
705,Kyle McCord,496.0
706,Brycen Tremayne,497.0
707,Kevin Coleman Jr.,497.0
708,Kameron Johnson,499.0
709,Greg Dortch,500.0
710,Arian Smith,500.0
711,Chris Brazzell II,504.0
712,Brendan Sorsby,507.0
